 GET / 200 178.195 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:44:00 GMT
 GET /login 200 136.635 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:44:08 GMT
 GET /login? 200 66.284 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:44:24 GMT
 GET /login? 304 54.327 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:44:42 GMT
 GET / 304 154.863 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:44:48 GMT
 GET /tour/the-snow-adventurer 200 147.868 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:44:51 GMT
 GET /tour/the-snow-adventurer 200 118.709 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:18 GMT
 GET /bundle.js.map 404 0.974 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:19 GMT - error-message: The requested url /bundle.js.map is Not Found
 GET /tour/the-snow-adventurer 304 154.194 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:22 GMT
 GET /bundle.js.map 404 0.655 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:23 GMT - error-message: The requested url /bundle.js.map is Not Found
 GET / 200 126.552 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:26 GMT
 GET /bundle.js.map 404 2.600 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:26 GMT - error-message: The requested url /bundle.js.map is Not Found
 GET /login 200 47.862 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:28 GMT
 GET /bundle.js.map 404 0.512 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:28 GMT - error-message: The requested url /bundle.js.map is Not Found
 POST /api/v1/users/login 200 737.730 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:35 GMT
 GET / 200 134.742 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:37 GMT
 GET /bundle.js.map 404 4.385 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:38 GMT - error-message: The requested url /bundle.js.map is Not Found
 GET /api/v1/users/logout 304 6.521 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:39 GMT
 GET / 200 131.412 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:40 GMT
 GET /bundle.js.map 404 1.003 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:40 GMT - error-message: The requested url /bundle.js.map is Not Found
 GET /login 304 58.974 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:42 GMT
 GET /bundle.js.map 404 0.917 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:42 GMT - error-message: The requested url /bundle.js.map is Not Found
 POST /api/v1/users/login 401 5.341 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:50 GMT - error-message: Incorrect email or password
 GET / 304 177.146 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:53 GMT
 GET /bundle.js.map 404 0.684 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0 Fri, 17 May 2024 22:45:54 GMT - error-message: The requested url /bundle.js.map is Not Found
